YearsExperience,Salary
1.1,39343
1.3,46205
1.5,37731
2,43525
2.2,39891
2.9,56642
3,60150
3.2,54445
3.2,64445
3.7,57189
3.9,63218
4,55794
4,56957
4.1,57081
4.5,61111
4.9,67938
5.1,66029
5.3,83088
5.9,81363
6,93940
1,20000
1,21000
1,32000
1,40000
1,40000
1,40000
1,40000
1,40000
1,40000
1,40000
2,60000
2,61000
2,62000
2,63000
2,64000
2,65000
2,66000
2,67000
2,68000
2,69000
3,70000
3,71000
3,72000
3,73000
3,74000
3,75000
3,76000
3,77000
3,78000
3,79000
4,80000
4,81000
4,82000
4,83000
4,84000
4,85000
4,86000
4,87000
4,88000
4,89000
5,90000
5,91000
5,92000
5,93000
5,94000
5,95000
5,96000
5,97000
5,98000
5,99000
6,100000
